name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,serving_size_g,serving_size_issue,serving_size_g_clean,risk_energy,risk_fat_total,risk_saturated_fat,risk_sodium,risk_sugar,label_konsumsi,alasan_label,garam_g_estimasi,risk_energy_score,risk_fat_total_score,risk_saturated_fat_score,risk_sodium_score,risk_sugar_score,total_risk_score,persen_akg_energi,persen_akg_protein,persen_akg_lemak_total,persen_akg_karbohidrat,persen_akg_serat,persen_akg_natrium,persen_akg_garam,manufacturer_clean
Nabati HANSEL,Tidak Diketahui,2 g,70.0,2.0,7.0,4.0,5.0,30.0,0.0,3.26,3.33,2.15,5.97,2.0,15.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0,0,2.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (15.00%),0.075,0,0,1,0,0,1,2.64,3.08,5.33,1.63,0.0,2.0,2.0,Tidak Diketahui
Mr. Bread Roti tawar gandum,PT. Mr. Bread Company,2.50 g,199.0,7.0,36.0,3.0,2.0,487.0,2.5,9.26,11.67,11.08,4.48,32.47,0.0,33.0,12.0,12.0,0.0,0.0,0.0,2.5,0,2.5,Aman,Aman,Aman,Waspada,Aman,Waspada,natrium %AKG tinggi (32.47%),1.2175,0,0,0,2,0,2,7.51,10.77,4.0,8.37,6.76,32.47,32.47,PT. Mr. Bread Company
Permen frozz mint,PT. Konimex,0 g,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,PT. Konimex
Frisian flag french vanilla low fat,PT. Frisian Flag Indonesia,7 g,110.0,7.0,16.0,2.5,16.0,110.0,0.0,5.12,11.67,4.92,3.73,7.33,0.0,8.0,12.0,0.0,6.0,0.0,0.0,7.0,0,7.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (16.00 g),0.275,0,0,0,0,1,1,4.15,10.77,3.33,3.72,0.0,7.33,7.33,PT. Frisian Flag Indonesia
Saori Saus Tiram,Tidak Diketahui,0 g,5.0,0.0,2.0,0.0,0.0,290.0,0.0,0.23,0.0,0.62,0.0,19.33,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Batasi,Aman,Batasi,natrium %AKG sedang (19.33%),0.725,0,0,0,1,0,1,0.19,0.0,0.0,0.47,0.0,19.33,19.33,Tidak Diketahui
Mie Lemonilo ayam bawang,PT. Lemonilo Indonesia Sehat,3 g,267.0,9.0,49.0,4.0,1.0,948.0,3.0,12.42,15.0,15.08,5.97,63.2,0.0,64.0,15.0,16.0,0.0,0.0,0.0,3.0,0,3.0,Batasi,Aman,Aman,Waspada,Aman,Waspada,energi %AKG sedang (12.42%); natrium %AKG tinggi (63.20%),2.37,1,0,0,2,0,3,10.08,13.85,5.33,11.4,8.11,63.2,63.2,PT. Lemonilo Indonesia Sehat
Supermi ayam Bawang,PT. Indofood CBP Sukses Makmur Tbk,4 g,130.0,7.0,46.0,15.0,2.0,1030.0,4.0,15.81,11.67,14.15,22.39,68.67,40.0,69.0,0.0,0.0,0.0,23.0,0.0,4.0,0,4.0,Batasi,Waspada,Waspada,Waspada,Aman,Waspada,energi %AKG sedang (15.81%); lemak total %AKG tinggi (22.39%); lemak jenuh %AKG tinggi (40.00%); natrium %AKG tinggi (68.67%),2.575,1,2,2,2,0,7,4.91,10.77,20.0,10.7,10.81,68.67,68.67,PT. Indofood CBP Sukses Makmur Tbk.
Coco pops,Tidak Diketahui,1 g,120.0,2.0,26.0,0.5,12.0,0.0,1.0,5.58,3.33,8.0,0.75,0.0,0.0,0.0,4.0,8.0,6.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (12.00 g),0.0,0,0,0,0,1,1,4.53,3.08,0.67,6.05,2.7,0.0,0.0,Tidak Diketahui
Permen mentos peppermint,Tidak Diketahui,0 g,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,0.19,0.0,0.0,0.23,0.0,0.0,0.0,Tidak Diketahui
Pop mie kuah pedes dower,PT. Indofood CBP Sukses Makmur Tbk.,3 g,360.0,6.0,46.0,16.0,4.0,0.0,3.0,16.74,10.0,14.15,23.88,0.0,0.0,0.0,0.0,15.0,17.0,24.0,0.0,3.0,0,3.0,Batasi,Waspada,Aman,Aman,Aman,Waspada,energi %AKG sedang (16.74%); lemak total %AKG tinggi (23.88%),0.0,1,2,0,0,0,3,13.58,9.23,21.33,10.7,8.11,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Ultramilk law fat source of calcium,"PT. Ultrajaya Milk Industry, Tbk",7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,4.19,11.67,3.38,3.73,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,7.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.2625,0,0,0,0,0,0,3.4,10.77,3.33,2.56,0.0,7.0,7.0,PT. Ultrajaya Milk Industry Tbk.
Es teh manis,Tidak Diketahui,0.02 g,90.0,0.02,23.44,0.0,0.0,0.0,0.0,4.19,0.03,7.21,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,0.02,0,0.02,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.4,0.03,0.0,5.45,0.0,0.0,0.0,Tidak Diketahui
Keju cheddar,Tidak Diketahui,22.87 g,404.0,22.87,3.09,33.31,0.0,0.0,0.0,18.79,38.12,0.95,49.72,0.0,0.0,0.0,39.0,0.0,19.0,50.0,0.0,22.87,0,22.87,Batasi,Waspada,Aman,Aman,Aman,Waspada,energi %AKG sedang (18.79%); lemak total %AKG tinggi (49.72%),0.0,1,2,0,0,0,3,15.25,35.18,44.41,0.72,0.0,0.0,0.0,Tidak Diketahui
Keju kraft cheddar,PT. Kraft foods Indonesia,4 g,70.0,4.0,2.0,5.0,0.0,0.0,0.0,3.26,6.67,0.62,7.46,0.0,0.0,0.0,7.0,0.0,4.0,8.0,0.0,4.0,0,4.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,2.64,6.15,6.67,0.47,0.0,0.0,0.0,PT. Kraft foods Indonesia
Good day cappuccino,PT. Santos jaya abadi,1 g,170.0,1.0,32.0,3.5,25.0,0.0,1.0,7.91,1.67,9.85,5.22,0.0,0.0,0.0,0.0,10.0,8.0,6.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (25.00 g),0.0,0,0,0,0,2,2,6.42,1.54,4.67,7.44,2.7,0.0,0.0,PT. Santos jaya abadi
Khong guan malkist seaweed,Tidak Diketahui,1 g,90.0,1.0,12.0,3.5,2.0,0.0,0.0,4.19,1.67,3.69,5.22,0.0,0.0,0.0,0.0,4.0,5.0,6.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.4,1.54,4.67,2.79,0.0,0.0,0.0,Tidak Diketahui
Pocari sweat,PT. Amerta indah otsuka,0 g,70.0,0.0,17.0,0.0,16.0,0.0,0.0,3.26,0.0,5.23,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (16.00 g),0.0,0,0,0,0,1,1,2.64,0.0,0.0,3.95,0.0,0.0,0.0,PT. Amerta indah otsuka
Royco sup krim ayam,Tidak Diketahui,2 g,50.0,2.0,9.0,1.0,2.0,710.0,0.0,2.33,3.33,2.77,1.49,47.33,0.0,48.0,4.0,3.0,0.0,0.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Waspada,Aman,Waspada,natrium %AKG tinggi (47.33%),1.775,0,0,0,2,0,2,1.89,3.08,1.33,2.09,0.0,47.33,47.33,Tidak Diketahui
Adem sari herbal lemon,PT. Hokkan Indonesia,0 g,60.0,0.0,16.0,0.0,14.0,65.0,0.0,2.79,0.0,4.92,0.0,4.33,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (14.00 g),0.1625,0,0,0,0,1,1,2.26,0.0,0.0,3.72,0.0,4.33,4.33,PT. Hokkan Indonesia
Gekikara ramen 109 gram,PT. nissin food indonesia,6 g,160.0,9.0,74.0,18.0,4.0,1200.0,6.0,23.26,15.0,22.77,26.87,80.0,45.0,80.0,0.0,0.0,0.0,27.0,0.0,6.0,0,6.0,Waspada,Waspada,Waspada,Waspada,Aman,Waspada,energi %AKG tinggi (23.26%); lemak total %AKG tinggi (26.87%); lemak jenuh %AKG tinggi (45.00%); natrium %AKG tinggi (80.00%),3.0,2,2,2,2,0,8,6.04,13.85,24.0,17.21,16.22,80.0,80.0,PT. nissin food indonesia
Kopi Indocafe coffemix 3 in 1,PT. Sari Incofood,1 g,90.0,1.0,17.0,2.0,13.0,0.0,0.0,4.19,1.67,5.23,2.99,0.0,0.0,0.0,0.0,6.0,5.0,3.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (13.00 g),0.0,0,0,0,0,1,1,3.4,1.54,2.67,3.95,0.0,0.0,0.0,PT. Sari Incofood
Sprite 390 ml,PT. Coca-cola bottling indonesia,0 g,0.0,0.0,25.0,0.0,25.0,40.0,0.0,4.65,0.0,7.69,0.0,2.67,0.0,3.0,0.0,8.0,5.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (25.00 g),0.1,0,0,0,0,2,2,0.0,0.0,0.0,5.81,0.0,2.67,2.67,PT. Coca-cola bottling indonesia
Nutri boost orange,Tidak Diketahui,2 g,170.0,2.0,37.0,1.5,0.0,180.0,0.0,7.91,3.33,11.38,2.24,12.0,0.0,12.0,0.0,12.0,8.0,0.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Batasi,Aman,Batasi,natrium %AKG sedang (12.00%),0.45,0,0,0,1,0,1,6.42,3.08,2.0,8.6,0.0,12.0,12.0,Tidak Diketahui
Mr. Bread Roti tawar choco chips,PT. Mr. Bread Company,2 g,227.0,7.0,38.5,5.0,8.0,286.0,2.0,10.56,11.67,11.85,7.46,19.07,0.0,20.0,12.0,12.0,0.0,0.0,0.0,2.0,0,2.0,Batasi,Aman,Aman,Batasi,Aman,Batasi,energi %AKG sedang (10.56%); natrium %AKG sedang (19.07%),0.715,1,0,0,1,0,2,8.57,10.77,6.67,8.95,5.41,19.07,19.07,PT. Mr. Bread Company
Royco kaldu sapi,PT. Unilever Indonesia,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT. Unilever Indonesia
Frisian Flag kental manis kemasan ekonomis 560 gram,PT. Frisian Flag Indonesia,1 g,140.0,1.0,23.0,40.0,19.0,25.0,0.0,6.51,1.67,7.08,59.7,1.67,8.0,0.0,0.0,8.0,0.0,60.0,0.0,1.0,0,1.0,Aman,Waspada,Aman,Aman,Batasi,Waspada,lemak total %AKG tinggi (59.70%); gula sedang (19.00 g),0.0625,0,2,0,0,1,3,5.28,1.54,53.33,5.35,0.0,1.67,1.67,PT. Frisian Flag Indonesia
Starbucks hot caffe latte (notfat milk),Tidak Diketahui,13 g,130.0,13.0,20.0,0.0,0.0,0.0,0.0,6.05,21.67,6.15,0.0,0.0,0.0,0.0,22.0,7.0,7.0,0.0,0.0,13.0,0,13.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.91,20.0,0.0,4.65,0.0,0.0,0.0,Tidak Diketahui
Chitato keripik kentang rasa original,PT. Indofood CBP Sukses Makmur Tbk.,1 g,100.0,1.0,12.0,5.0,0.0,60.0,0.0,4.65,1.67,3.69,7.46,4.0,0.0,4.0,0.0,0.0,5.0,8.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.15,0,0,0,0,0,0,3.77,1.54,6.67,2.79,0.0,4.0,4.0,PT. Indofood CBP Sukses Makmur Tbk.
Khong Guan Malkist abon,PT. KHONG GUAN,2 g,80.0,2.0,13.0,3.0,3.0,0.0,0.0,3.72,3.33,4.0,4.48,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.02,3.08,4.0,3.02,0.0,0.0,0.0,PT. KHONG GUAN
Oreo,PT.Kraft foods,1 g,140.0,1.0,21.0,6.0,11.0,0.0,1.0,6.51,1.67,6.46,8.96,0.0,0.0,0.0,0.0,7.0,7.0,9.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (11.00 g),0.0,0,0,0,0,1,1,5.28,1.54,8.0,4.88,2.7,0.0,0.0,PT. Kraft foods
Sedaap Tasty bakmi ayam geprek matah,PT. Karunia Alam Segar,6 g,190.0,14.0,81.0,21.0,2.0,870.0,6.0,8.84,23.33,24.92,31.34,58.0,45.0,58.0,0.0,0.0,0.0,32.0,0.0,6.0,0,6.0,Aman,Waspada,Waspada,Waspada,Aman,Waspada,lemak total %AKG tinggi (31.34%); lemak jenuh %AKG tinggi (45.00%); natrium %AKG tinggi (58.00%),2.175,0,2,2,2,0,6,7.17,21.54,28.0,18.84,16.22,58.0,58.0,PT. Karunia Alam Segar
Saus sambal ABC,PT. ABC Heinz Indonesia,0 g,28.0,0.0,6.0,0.0,5.0,0.0,0.0,1.3,0.0,1.85,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,1.06,0.0,0.0,1.4,0.0,0.0,0.0,PT. ABC Heinz Indonesia
Coklat Hershey's kisses milk chocolate,Tidak Diketahui,0.10 g,22.0,0.3,2.8,1.3,2.6,0.0,0.1,1.02,0.5,0.86,1.94,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.1,0,0.1,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,0.83,0.46,1.73,0.65,0.27,0.0,0.0,Tidak Diketahui
Chitato fresh potato,PT. Indofood CBP Sukses Makmur Tbk.,1 g,110.0,1.0,12.0,6.0,0.0,0.0,0.0,5.12,1.67,3.69,8.96,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.15,1.54,8.0,2.79,0.0,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
good day mocacino,PT. Santos jaya abadi,1 g,90.0,1.0,16.0,2.0,13.0,10.0,1.0,4.19,1.67,4.92,2.99,0.67,10.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Batasi,Aman,Batasi,Batasi,lemak jenuh %AKG sedang (10.00%); gula sedang (13.00 g),0.025,0,0,1,0,1,2,3.4,1.54,2.67,3.72,2.7,0.67,0.67,PT. Santos jaya abadi
Teh botol sosro original,PT.Sinar Sosro,0 g,140.0,0.0,34.0,0.0,32.0,0.0,0.0,6.51,0.0,10.46,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (32.00 g),0.0,0,0,0,0,2,2,5.28,0.0,0.0,7.91,0.0,0.0,0.0,PT. Sinar Sosro
Goodday Funtastic mocacinno,Tidak Diketahui,8 g,140.0,3.0,26.0,2.5,18.0,75.0,8.0,6.51,5.0,8.0,3.73,5.0,0.0,0.0,0.0,8.0,7.0,0.0,27.0,8.0,0,8.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (18.00 g),0.1875,0,0,0,0,1,1,5.28,4.62,3.33,6.05,21.62,5.0,5.0,Tidak Diketahui
